abstract_id,chunk1,chunk2,chunk3
11336940,,,
12586182,,,
12867391,,,
21499770,,,
19123151,,,
19860553,,,
10837379,7,
15097262,,,
17519068,,,
25430900,,,
24672097,,12,
16458964,,,
12485286,5,
11167277,,,
18327364,5,
15598478,,,
10901475,3,
21792284,3,
12470755,2,
9230823,4,
23550916,,,
27445072,,,
10664047,8,
21851642,,,
15857284,5,
22775229,,,
12383812,,10,
12466165,2,,
20545217,,,
25533656,,,41
20429818,,,
12483094,,,
12660585,,,
1524115,,,
25432143,7,
8694726,8,
17571086,,,
17407624,,,
21257146,3,24
17197028,8,
1882923,6
16750448,3,,
10877373,6,
8123096,8
8123096,13
16825272,,,
22320418,,,
11825814,10,,
17244215,,,
16009829,,,
26578422,,,
11558817,7,
15094733,,,
21034177,3,
11952485,,,
15037890,,,
26940161,,,
9331215,,,
23203707,,,
10080213,,19,
10080213,,22,
14736774,6,
18402717,,,
18535605,,,
18721251,,,
19726422,11,
8628544,,,
12486510,,,
15220019,,,
19476406,,,
23950156,,,
