abstract_id,chunk1,chunk2,chunk3
11336940,,,
12586182,,,
12867391,,,
21499770,,16
19123151,,,
19860553,5,
10837379,7,
15097262,5,
17519068,,,
25430900,,,
24672097,,,
16458964,,15
12485286,,,
11167277,,,
18327364,2,
15598478,9,,
10901475,3,
21792284,3,
12470755,,,
9230823,,,
23550916,,,
27445072,,,
10664047,,,
21851642,,,
15857284,7,
22775229,,,
12383812,,,
12466165,,,
20545217,,,
25533656,,,
20429818,,,
12483094,,,
12660585,,,
1524115,,,
25432143,,,
8694726,8,
17571086,,,
17407624,,,
21257146,,,
17197028,8,
1882923,,,
16750448,,,
10877373,6,
8123096,8
16825272,,,
22320418,,,
11825814,10,,
17244215,,,
16009829,,,
26578422,,,
11558817,6,
15094733,,,
21034177,,,
11952485,,,
15037890,,,
26940161,14,
9331215,,,
23203707,,,
10080213,,,
14736774,6,
18402717,8,
18535605,,,
18721251,,,
19726422,3,
8628544,,,
12486510,10,
15220019,2,,
19476406,,,
23950156,,,
