,abstract_id,sentence_index,synonym_tokens,original_tokens,attack_successful,num_changed,divergence,token_index,num_queries,changed_sentences,num_entities_changed,synonym_prob,semantic_sim,attack_type,type,num_changes_in_pred,comp_mode,num_entites_changed
0,16715577,0,,,False,,,,,,,,,,,,,
1,16715577,1,,,False,,,,,,,,,,,,,
2,16715577,2,insulin glargine human,glargine,,1,,7,1,,,,,,CHEMICAL,,,
3,16715577,2,product containing glimepiride,glimepiride,False,2,22.592426300048828,21,2,[],,,,,CHEMICAL,,,0.0
4,16715577,3,,,False,,,,,,,,,,,,,
5,16715577,4,,,False,,,,,,,,,,,,,
6,16715577,5,diabetes type 2,diabetes,False,1,0.20313747227191925,14,1,[],,,,,DISEASE,,,0.0
7,16715577,6,,,False,,,,,,,,,,,,,
8,16715577,7,insulin glargine human,glargine,,1,,9,1,,,,,,CHEMICAL,,,
9,16715577,7,product containing glimepiride,glimepiride,True,2,13.846378326416016,30,2,[7],,,,,CHEMICAL,,,1.0
10,16715577,8,product containing glimepiride,glimepiride,,1,,50,1,,,,,,CHEMICAL,,,
11,16715577,8,insulin glargine human,glargine,True,2,8.827316284179688,59,2,[8],,,,,CHEMICAL,,,1.0
12,16715577,9,,,False,,,,,,,,,,,,,
13,16715577,10,insulin glargine human,glargine,False,1,3.2344346046447754,3,1,[],,,,,CHEMICAL,,,0.0
14,16715577,11,nocturnal hypoglycaemia,nocturnal hypoglycemia,,1,,1,1,,,,,,DISEASE,,,
15,16715577,11,insulin glargine human,glargine,False,2,18.479982376098633,13,2,[],,,,,CHEMICAL,,,0.0
16,16715577,12,insulin glargine human,glargine,False,1,16.069334030151367,3,1,[],,,,,CHEMICAL,,,0.0
17,16715577,13,insulin glargine human,glargine,False,1,11.614469528198242,10,1,[],,,,,CHEMICAL,,,0.0
18,16715577,14,insulin glargine human,glargine,False,1,8.794334411621094,19,1,[],,,,,CHEMICAL,,,0.0
19,16715577,15,insulin glargine human,glargine,,1,,20,1,,,,,,CHEMICAL,,,
20,16715577,15,product containing glimepiride,glimepiride,,2,,26,2,,,,,,CHEMICAL,,,
21,16715577,15,nocturnal hypoglycaemia,nocturnal hypoglycemia,False,3,6.175206184387207,44,3,[],,,,,DISEASE,,,0.0
22,16715577,16,,,False,,,,,,,,,,,,,
23,28345162,0,,,False,,,,,,,,,,,,,
24,28345162,1,,,False,,,,,,,,,,,,,
25,28345162,3,lixisenatide product,lixisenatide,,1,,8,1,,,,,,CHEMICAL,,,
26,28345162,3,product containing sitagliptin,sitagliptin,,2,,15,2,,,,,,CHEMICAL,,,
