abstract_id,chunk1,chunk2,chunk3
16715577,,,
28345162,,16,
19108786,11,,,
27650977,,19,27
14706058,15,
27321385,8,
24650952,,,
15842521,,,
28035868,,14,
18204830,,12,
18761646,,8
21114605,,,
22313154,,16,
25753488,,18,
23706759,,19
21819517,,10
21802161,,,
23906445,,,
17929538,,13
23404788,6,
18194595,,11
17115351,,13,
20920045,,,
22672081,,,
22742523,,,
23949898,,,
28923291,,,
29862619,,22,
17404349,,22,
12734781,7,
28547998,,11
23039321,7,
17157112,,13,23
28483786,,,
16505498,,9
19565569,8,10,
19565569,,12,
20092585,,,
24205943,,,
17593236,,12,
24639432,4,10
23082447,,,
28345792,,15,
19307526,,,
29017497,,,19,
23230096,,,
24237386,7,14
15205563,9,16
29362626,,,
11315821,6,
23628617,8,12
18158076,,11,,,
23627775,7,11
20415692,,,
19336625,,9,
14578243,,,
15715892,,,
21138825,,20,
26598090,,,
23948125,,23
28026912,,,30,
28548024,12,14
27711199,,,
23160726,7,
20200301,6,9
22134839,,,
27589252,,12,
26950829,8,
20880343,8,
